instruction,input,output,topic,severity
How long does postpartum bleeding usually last?,,"Many new parents notice bleeding for up to 4–6 weeks after birth, with the flow gradually decreasing. The color often shifts from red to pink to brown or yellow. Use pads instead of tampons during this time. If bleeding suddenly becomes heavy again, you pass large clots, or feel dizzy, please contact your clinician right away.",postpartum_recovery,green
Lochia turned bright red again after chores. Is that normal?,,"It’s understandable to worry when bleeding gets brighter. A brief return to red after activity often means you did a bit too much. Rest, elevate your feet, and stay hydrated. If bleeding lightens within a day and you’re not soaking pads quickly, that’s usually okay. Call your clinician if heavy flow continues or you feel faint.",postpartum_recovery,green
I’m passing small clots on my pad.,,"Small clots, about the size of a coin, can be normal in the first weeks. Many people notice this after resting or breastfeeding. Keep track of size and frequency. If clots are larger than a golf ball, occur repeatedly, or come with dizziness or soaking pads quickly, contact your clinician.",postpartum_recovery,yellow
I passed a clot the size of a lemon.,,"Emergency. Call 911 or go to the emergency department now. A clot this large is not expected. While you wait, lie down, place on a fresh pad to monitor flow, and avoid driving yourself.",postpartum_recovery,red
When should perineal stitches stop hurting?,,"Tenderness around stitches is very common during the first couple of weeks. Use a peri bottle with warm water after bathroom trips, sit on a cushion, and change pads often. Pain should slowly improve. If soreness worsens, swelling increases, or you notice pus or foul odor, call your clinician.",postpartum_recovery,green
My C-section incision looks red and swollen.,,"Redness or swelling around an incision can mean infection. Keep the area clean and dry. Contact your clinician today for evaluation. If you also develop fever, spreading redness, or severe pain, seek urgent care.",postpartum_recovery,yellow
I suddenly have chest pain and shortness of breath.,,Emergency. Call 911 or go to the emergency department now. Stay seated upright if possible and avoid exertion until help arrives.,postpartum_recovery,red
Is constipation normal after giving birth?,,"Yes, constipation is common after birth, especially with pain medicines. Drink water, add fiber-rich foods, and walk gently if you’re able. A stool softener may help if your clinician recommends it. If constipation lasts more than 3–4 days or you have severe pain, call your clinician.",postpartum_recovery,green
Why does it sting when I pee postpartum?,,"Mild stinging when urinating can happen as tissues heal. Rinsing with warm water while you urinate and drinking plenty of fluids can reduce discomfort. If the burning worsens, you feel urgency or see blood, contact your clinician within 24 hours for testing.",postpartum_recovery,yellow
I’m soaking a pad every 30 minutes. What should I do?,,"Emergency. Call 911 or go to the emergency department now. This amount of bleeding is not safe. While waiting, lie down, keep a clean pad to monitor flow, and avoid driving.",postpartum_recovery,red
How should I care for my stitches at home?,,"Keeping the area clean helps healing. Use a peri bottle with warm water after bathroom trips, change pads often, and avoid harsh soaps. If you notice increasing pain, foul odor, or fever, reach out to your clinician.",postpartum_recovery,green
My bleeding smells foul and I feel feverish.,,"A bad odor with fever can suggest infection. Contact your clinician today for evaluation. If fever is high or you feel suddenly unwell, seek urgent care.",postpartum_recovery,yellow
I feel chills and my temperature is 101.5°F (38.6°C).,,"A fever above 100.4°F (38°C) after birth may signal infection. Stay hydrated and rest. Call your clinician today. If symptoms worsen or you cannot reach them promptly, go to urgent care or the emergency department.",postpartum_recovery,yellow
I feel dizzy when I stand up.,,"Feeling lightheaded is common if you’re tired or low on fluids. Rise slowly, hydrate, and eat balanced meals. If dizziness is severe, paired with heavy bleeding, or you faint, seek care right away.",postpartum_recovery,yellow
What’s normal vaginal discharge at 3 weeks postpartum?,,"Many people still have light brown or yellow spotting at 3 weeks, and this can be normal. Use pads, rest if bleeding increases, and stay hydrated. If discharge becomes bright red, foul-smelling, or heavy again, call your clinician.",postpartum_recovery,green
My perineum feels itchy as it heals. Is that okay?,,"Mild itching can happen as stitches heal. Keep the area clean, change pads often, and try sitz baths for comfort. If itching is severe, or you notice swelling, discharge, or fever, contact your clinician.",postpartum_recovery,green
Incision pain is getting worse instead of better.,,"Pain should gradually ease as you heal. If it’s intensifying, check for redness, swelling, or drainage. Call your surgeon’s office today. If the wound opens or you develop fever, seek emergency care.",postpartum_recovery,yellow
I’m having trouble emptying my bladder.,,"Difficulty urinating can happen after delivery. Try running warm water while you sit or use a peri bottle. If you cannot pass urine at all, or if pain and pressure increase, call your clinician the same day.",postpartum_recovery,yellow
My legs are swollen and one calf hurts more than the other.,,Emergency. Call 911 or go to the emergency department now. This can be a sign of a blood clot. Keep your leg still and do not massage it while waiting.,postpartum_recovery,red
Is it normal to feel tired and achy a week after birth?,,"Feeling worn out is very common as your body recovers. Rest whenever possible, eat nourishing meals, and accept help when offered. If fatigue is severe, you feel faint, or symptoms come with heavy bleeding, contact your clinician.",postpartum_recovery,green
My nipples are sore in the first week of breastfeeding.,,"Many new parents notice nipple soreness early on. A deep latch with baby’s mouth wide and chin pressed against the breast usually helps. Break suction gently to unlatch and apply expressed milk or lanolin for healing. If soreness worsens, cracks bleed, or you develop fever with breast pain, contact your clinician.",breastfeeding,green
How often should I nurse my newborn?,,"Newborns usually feed 8–12 times in 24 hours. Watch your baby’s cues instead of the clock. Expect at least 6 wet diapers daily once milk is in. If your baby feeds poorly or has fewer diapers, contact your clinician.",breastfeeding,green
One breast feels hard and sore but I don’t have a fever.,,"This may be a clogged duct. Feed or pump more often, starting on the sore side, and use warm compresses with gentle massage. If pain worsens or a fever develops, contact your clinician within 24 hours.",breastfeeding,yellow
I have fever and a wedge-shaped red area on my breast.,,"You may have mastitis. Continue to empty the breast, use warm compresses, and rest. Contact your clinician today for same-day evaluation. Go to the emergency department if you become very weak, confused, or develop chills with worsening pain.",breastfeeding,yellow
Pumping only gives a few drops of milk. Is this normal?,,"It’s common for pump output to be small at first. Pump between feeds, check flange size, and use warm compresses. Stay hydrated and try to relax. If supply remains low after several days or your baby is not gaining weight, consult your clinician or a lactation consultant.",breastfeeding,green
My baby falls asleep quickly at the breast and hardly feeds.,,"Sleepy feeds are common. Try skin-to-skin contact, tickling baby’s feet, or gentle breast compression. If your newborn is very hard to wake, has fewer than 6 wet diapers daily, or isn’t gaining weight, call your clinician within 24 hours.",breastfeeding,yellow
There’s a crack on my nipple that bleeds a little.,,"Cracks can be painful but are treatable. Adjust baby’s latch, keep nipples clean and dry, and apply expressed milk or lanolin. If pain worsens, bleeding continues, or infection signs appear, contact your clinician.",breastfeeding,green
Is formula safe if I can’t breastfeed enough?,,Feeding your baby well matters most. Combination feeding or formula alone can be safe and healthy. Choose iron-fortified infant formula and follow preparation directions. Ask your clinician for support if you’re concerned about supply or baby’s growth.,breastfeeding,green
"I suddenly have chills, breast pain, and a fever of 102°F (38.9°C).",,"Emergency. Call 911 or go to the emergency department now. These symptoms may signal mastitis. While waiting, keep the breast supported and continue to express milk if you can.",breastfeeding,red
Can I take ibuprofen while breastfeeding?,,Some pain relievers like ibuprofen are safe while nursing. Use the lowest effective dose and check with your clinician or pharmacist for your situation. Avoid medicines that may cause drowsiness in you or your baby unless specifically prescribed.,breastfeeding,green
Milk is leaking from one breast while I feed on the other.,,"This is common and usually harmless. Placing a breast pad or collecting shell can help. If leakage is very heavy or you notice lumps or pain, mention it at your next checkup.",breastfeeding,green
I feel a lump in my breast that hasn’t gone away after feeds.,,A lump that stays after feeding should be checked. Continue feeding or pumping to keep breasts empty and use warm compresses. Contact your clinician within 24 hours to rule out infection or other causes.,breastfeeding,yellow
How should I store breast milk safely?,,"Fresh milk can sit at room temperature for about 4 hours, in the fridge for up to 4 days, and in the freezer for 6–12 months. Label containers with the date. If unsure, it’s safest to discard.",breastfeeding,green
My baby refuses the bottle and I return to work soon.,,"This can be stressful, but many babies adjust. Offer the bottle once daily when your baby is calm, try different nipples, and have another caregiver offer it while you’re out of sight. If refusal continues, ask your clinician or lactation consultant for guidance.",breastfeeding,yellow
I feel dizzy and have high fever while nursing.,,"Emergency. Call 911 or go to the emergency department now. These symptoms may point to a serious infection. While waiting, keep hydrated and avoid being alone with the baby if you feel faint.",breastfeeding,red
What should I eat to support milk supply?,,"Eating balanced meals, drinking enough fluids, and resting when possible support milk production. Oats, legumes, and leafy greens are healthy choices. If you’re worried about supply, talk with your clinician before trying supplements.",breastfeeding,green
I noticed white patches in my baby’s mouth after nursing.,,"This may be thrush, which can spread between mother and baby. Call your pediatrician for treatment. Sterilize pacifiers and wash hands well. If you also notice nipple pain with shooting sensations, mention this to your clinician.",breastfeeding,yellow
Pumping takes a long time and barely fills a bottle.,,"Pump efficiency varies. Check flange fit, relax with gentle massage, and pump regularly. If low output continues after several days and your baby’s growth is affected, contact your clinician.",breastfeeding,yellow
I have red streaks on my breast and feel unwell.,,"Emergency. Call 911 or go to the emergency department now. Red streaks with feeling unwell can mean a spreading infection. While waiting, rest, stay hydrated, and keep your baby safe with another caregiver if you feel too weak.",breastfeeding,red
Can stress affect my milk supply?,,"Yes, stress can reduce milk let-down. Deep breathing, skin-to-skin with your baby, and asking for support can help. If you notice ongoing supply issues, speak with your clinician or a lactation consultant.",breastfeeding,green
How often should my newborn feed in the first weeks?,,"Most newborns feed 8–12 times in 24 hours. Watch your baby’s hunger cues instead of the clock. Expect several wet diapers a day once feeding is established. If your baby feeds poorly or has fewer diapers, contact your clinician.",newborn_care,green
My baby spits up after most feeds. Is that okay?,,"Spitting up is common in young babies. Keep your baby upright for 20–30 minutes after feeds and avoid overfeeding. Call your pediatric clinician if spit-up is forceful, contains green fluid, or your baby isn’t gaining weight.",newborn_care,green
My newborn feels very sleepy and hard to wake for feeds.,,"Emergency. Call 911 or go to the emergency department now. A baby who is too sleepy to feed may need urgent evaluation. While waiting, try gentle stimulation and keep your baby safely positioned on their back.",newborn_care,red
What temperature counts as a fever in a newborn?,,A rectal temperature of 100.4°F (38.0°C) or higher in babies under 3 months is a medical emergency. Call your pediatric clinician or go to the emergency department right away.,newborn_care,red
How many wet diapers should my 1-week-old have?,,"By the end of the first week, most babies should have at least 6 wet diapers daily. If your baby has fewer, seems dehydrated, or isn’t feeding well, contact your pediatric clinician.",newborn_care,green
My baby’s skin looks more yellow today.,,"Jaundice is common in the first week. Frequent feeding can help flush bilirubin. If the yellow color spreads to the legs, your baby is very sleepy, or feeding poorly, contact your pediatric clinician within 24 hours.",newborn_care,yellow
The umbilical cord stump has a little blood on the diaper.,,"A small amount of blood as the stump falls off can be normal. Keep the area clean and dry. If bleeding continues, pus appears, or redness spreads onto the belly, call your pediatric clinician.",newborn_care,yellow
Is it normal for my newborn to sneeze often?,,"Frequent sneezing can be normal as babies clear their noses. If there is no fever and your baby feeds well, this is usually fine. Call your pediatric clinician if sneezing is paired with breathing trouble or poor feeding.",newborn_care,green
My baby is breathing fast with chest pulling in.,,Emergency. Call 911 or go to the emergency department now. Rapid breathing with chest retractions means your baby needs urgent help.,newborn_care,red
What’s the best way to care for the umbilical cord stump?,,"Keep the stump clean and dry, and fold the diaper below it to allow air circulation. It usually falls off within 1–2 weeks. Contact your clinician if pus, foul odor, or spreading redness develops.",newborn_care,green
My baby hasn’t peed in 10 hours.,,"This can signal dehydration or feeding problems. Offer a feed now and contact your pediatric clinician today for same-day evaluation. Go to the emergency department if your baby becomes very sleepy, has a dry mouth, or has blue lips.",newborn_care,yellow
Are hiccups normal in newborns?,,"Yes, hiccups are common and usually harmless. Burping during feeds and offering a pacifier can help. If hiccups interfere with feeding or cause distress, mention it to your clinician.",newborn_care,green
My newborn vomited forcefully across the room.,,"Projectile vomiting needs prompt assessment. Keep your baby upright and offer small feeds. Contact your pediatric clinician now for same-day evaluation. Go to the emergency department if vomit is green, bloody, or your baby seems very sleepy.",newborn_care,yellow
There’s a white coating in my baby’s mouth that doesn’t wipe away.,,"This may be thrush. Call your pediatric clinician for treatment. Wash pacifiers and bottle nipples thoroughly, and wash hands often to prevent spread.",newborn_care,yellow
Is it okay for my newborn to sleep 4–5 hours straight at night?,,"Some babies sleep longer stretches, but in the early weeks they should wake at least every 3–4 hours to feed. Gently wake your baby if needed. If your baby is too sleepy to feed or has few wet diapers, contact your clinician.",newborn_care,yellow
My baby’s hands and feet look bluish sometimes.,,"A bluish color in hands and feet can be normal when babies are cold. It should improve with warmth. If lips, face, or chest turn blue or breathing is difficult, seek emergency care.",newborn_care,yellow
My baby coughs during feeds.,,"Some coughing can happen with a strong milk flow. Feed in a more upright position and take breaks. If coughing is frequent, baby chokes, or struggles to breathe, contact your clinician.",newborn_care,yellow
What’s safe sleep for my newborn?,,"Always place your baby on their back in a firm, flat crib or bassinet with no pillows, blankets, or toys. Share your room, not your bed. This lowers the risk of SIDS.",newborn_care,green
My baby’s soft spot looks sunken.,,"A slightly sunken soft spot can be normal, but it can also mean dehydration. Offer a feed and contact your pediatric clinician today. If your baby is very sleepy or has very few wet diapers, seek urgent care.",newborn_care,yellow
My baby feels cold and isn’t waking up well.,,"Emergency. Call 911 or go to the emergency department now. Keep your baby warm with skin-to-skin or blankets while waiting for help, but avoid overheating.",newborn_care,red
Is it normal to cry a lot after birth?,,"Crying spells in the first 1–2 weeks are often part of the 'baby blues.' Rest, accept help, and know it usually improves. If sadness lasts beyond two weeks or you feel hopeless, contact your clinician.",mental_health,green
I feel anxious all the time and can’t relax.,,"Anxiety is common after birth, but constant worry can be overwhelming. Try slow breathing and grounding exercises. If anxiety interferes with sleep or daily life, call your clinician within the next few days.",mental_health,yellow
I’m having thoughts of harming myself.,,"Emergency. Call 911 or your local crisis line now. You deserve immediate help and safety. If possible, ask someone you trust to stay with you until help arrives.",mental_health,red
I feel detached from my baby and numb.,,"These feelings can happen with postpartum depression. Contact your clinician within the next 1–2 days to discuss support and treatment. If you develop thoughts of harm, seek emergency help immediately.",mental_health,yellow
"My mood swings are intense—happy one moment, tearful the next.",,"Mood swings can be part of early postpartum changes. Try resting, eating regularly, and asking for support with chores. If mood swings become extreme or last beyond two weeks, call your clinician.",mental_health,green
I feel panic attacks coming on at night.,,Panic attacks can feel frightening but are not uncommon. Try slow breathing and grounding exercises. Call your clinician within a day or two to discuss options for relief and support.,mental_health,yellow
I can’t sleep even when the baby is resting.,,"Sleep struggles are common, but persistent insomnia can signal anxiety or depression. Try short naps, dim lights at night, and reducing caffeine. If you remain unable to sleep, call your clinician.",mental_health,yellow
Where can I find immediate mental health support?,,"If you ever feel unsafe or have thoughts of harm, call 911 or a crisis line immediately. For ongoing support, reach out to your clinician, local postpartum support groups, or telehealth counseling services.",mental_health,green
I feel worthless and like my family would be better off without me.,,"Emergency. Call 911 or a crisis hotline now. These thoughts signal urgent need for support. While waiting, stay with someone you trust and avoid being alone.",mental_health,red
I can’t stop worrying about my baby’s safety.,,"Some worry is natural, but if it consumes your thoughts or disrupts daily life, it may be postpartum anxiety. Try limiting online searches and use calming routines. Contact your clinician soon to talk about support.",mental_health,yellow
I feel overwhelmed and tearful most days.,,"Overwhelm is common, but if it lasts more than two weeks, it may be more than the 'baby blues.' Reach out to your clinician for evaluation and support.",mental_health,yellow
I’m avoiding friends and don’t want to leave the house.,,Withdrawing from others can be a sign of depression. Try to share your feelings with someone you trust. Contact your clinician within the next few days to discuss support.,mental_health,yellow
I sometimes hear voices telling me I’m a bad mother.,,"Emergency. Call 911 or go to the emergency department now. Hearing voices after birth may mean postpartum psychosis, which requires urgent help.",mental_health,red
I’m scared to be alone with my baby in case something happens.,,"Many new parents feel anxious about being responsible for a newborn. Try having a support person nearby. If fear is constant or keeps you from caring for your baby, contact your clinician today.",mental_health,yellow
I feel better when I get outside for a walk. Is that helpful?,,"Yes, light activity, sunlight, and fresh air can lift mood and reduce stress. Keep outings short and safe. If low mood persists despite these steps, reach out to your clinician.",mental_health,green
I’m irritable and snapping at my partner often.,,"Irritability is common with fatigue and stress. Try resting when possible and share your feelings openly. If irritability becomes constant or affects relationships deeply, contact your clinician.",mental_health,green
I feel like I can’t bond with my baby.,,"Bonding can take time. Skin-to-skin contact, gentle play, and talking to your baby can help. If the feeling of disconnection persists or worsens, reach out to your clinician for support.",mental_health,yellow
I’m not eating because I don’t feel hungry or motivated.,,"Loss of appetite can be linked to depression. Try to eat small, frequent meals and drink fluids. Contact your clinician today for guidance and support.",mental_health,yellow
I’m constantly afraid something bad will happen to my baby.,,"Vigilance is natural, but constant fear can be a sign of postpartum anxiety. Practice calming techniques and share your concerns with someone close. Call your clinician within 24–48 hours to discuss next steps.",mental_health,yellow
I’m having racing thoughts and can’t slow down.,,Racing thoughts can feel exhausting and may signal anxiety. Try grounding exercises and keep a calm bedtime routine. Contact your clinician promptly to discuss support and treatment.,mental_health,yellow
When will my baby start smiling at me?,,"Many babies begin social smiles between 6 and 12 weeks. Enjoy face-to-face time and gentle talking. If your baby doesn’t smile by 3 months, bring it up with your pediatric clinician.",development_1to3mo,green
My 2-month-old doesn’t follow moving objects yet.,,"Visual tracking improves around 2–3 months. Try moving a bright toy slowly side to side in good light. If your baby shows no tracking by 3 months, contact your pediatric clinician.",development_1to3mo,yellow
What reflexes should my newborn still have at 1 month?,,"Early reflexes like rooting, sucking, grasp, and startle are common in the first months. They usually fade gradually. If reflexes seem absent or unusually strong, mention it to your clinician.",development_1to3mo,green
Is tummy time important this early?,,"Yes, supervised tummy time helps neck and shoulder strength from the first weeks. Start with short sessions a few times daily and increase as your baby tolerates. Always place your baby on their back for sleep.",development_1to3mo,green
My baby doesn’t smile back at 3 months.,,"Not smiling responsively by 3 months deserves a checkup. Keep engaging gently with talking and play, but schedule an appointment with your pediatric clinician.",development_1to3mo,yellow
When do babies usually roll over?,,"Some babies roll front-to-back around 3–4 months, but timing varies. Provide safe, flat spaces for practice. If you’re concerned about delays or sudden loss of skills, contact your clinician.",development_1to3mo,green
My baby startles a lot when put down. Is that normal?,,"Yes, the Moro reflex is common in the early weeks and usually fades by 2–3 months. Swaddling (until rolling begins) and gentle handling can help your baby feel secure.",development_1to3mo,green
My baby doesn’t respond to loud sounds.,,Hearing concerns should be checked quickly. Avoid loud tests at home. Contact your pediatric clinician today to arrange hearing testing.,development_1to3mo,yellow
What toys are best for a 2-month-old?,,"High-contrast books, soft rattles, and simple mobiles are engaging for young babies. Avoid items with small parts, cords, or anything heavy overhead. Supervise all play.",development_1to3mo,green
How can I help my baby’s neck strength?,,"Tummy time while awake and supervised builds neck and shoulder strength. Praise small efforts, keep sessions playful, and increase time as tolerated.",development_1to3mo,green
My 1-month-old still clenches fists tightly. Is that okay?,,"Tight fists are normal in the first 1–2 months. Hands usually relax more by 3 months. If fists remain very tight beyond that, mention it at your next pediatric visit.",development_1to3mo,green
My baby doesn’t make cooing sounds yet at 3 months.,,"Most babies begin cooing by 2 months. If your baby is silent by 3 months, contact your pediatric clinician for evaluation. Keep talking and singing to encourage responses.",development_1to3mo,yellow
How can I support social development at this age?,,"Face-to-face interaction, talking, singing, and responding to your baby’s coos help build early social skills. Short, frequent play sessions are best.",development_1to3mo,green
My baby’s head flops backward when lifted.,,"Neck control is limited early on, but gradual improvement is expected. Always support the head when lifting. If head control doesn’t improve by 3 months, contact your clinician.",development_1to3mo,yellow
Are jerky movements normal in a 1-month-old?,,"Yes, jerky or sudden movements are common as the nervous system matures. Movements usually smooth out by 2–3 months. If movements are stiff, twitching, or one-sided, contact your clinician.",development_1to3mo,green
My baby isn’t making eye contact yet.,,"Most babies make eye contact by 6–8 weeks. If there is still no eye contact by 3 months, call your pediatric clinician for evaluation.",development_1to3mo,yellow
What should my baby’s weight gain look like in the first months?,,"Most babies gain about 5–7 ounces per week in the first months. Regular weight checks help track growth. If your baby isn’t gaining or is losing weight, contact your clinician promptly.",development_1to3mo,yellow
My baby arches their back and seems stiff.,,"Occasional arching can be normal, but stiffness or frequent arching should be checked. Contact your pediatric clinician to rule out reflux or other concerns.",development_1to3mo,yellow
When do babies start holding their heads up steadily?,,"By around 3 months, most babies can hold their heads with less support. Practice tummy time daily. If your baby has no head control by 4 months, contact your clinician.",development_1to3mo,green
"My baby isn’t smiling, cooing, or following with eyes by 3 months.",,Emergency. Contact your pediatric clinician immediately. Lack of multiple milestones may signal a developmental problem that needs prompt evaluation.,development_1to3mo,red
What’s the safest sleep position for my newborn?,,"Always place your baby on their back for sleep, on a firm, flat surface with no pillows, blankets, or toys. This reduces the risk of SIDS.",safety,green
Can my baby sleep in a car seat at home?,,"Car seats are for travel, not routine sleep. Move your baby to a firm, flat crib or bassinet once home. If your baby falls asleep in the seat, transfer safely when possible.",safety,yellow
Is it safe to use a baby sleep positioner?,,"Avoid wedges and sleep positioners. A clear, flat sleep surface is safest. If reflux is a concern, talk with your clinician about safe alternatives.",safety,green
We sometimes bed-share because I’m so exhausted. Is it safe?,,"The safest setup is room-sharing without bed-sharing. If you fall asleep with your baby, remove pillows and blankets and place them on their back on a firm surface. Ask for help to get more rest.",safety,yellow
Grandparents smoke. Can they hold the baby?,,"Ask them to smoke outside, wear a clean over-layer, and wash hands before holding your baby. Keeping indoor air smoke-free protects your baby’s breathing and reduces SIDS risk.",safety,green
Is it okay to use a soft pillow in the crib?,,"No. Keep the sleep space empty. A firm mattress with a fitted sheet is safest. No pillows, blankets, or stuffed toys.",safety,green
What if my baby rolls while swaddled?,,Emergency. Stop swaddling immediately. Rolling while swaddled increases the risk of suffocation. Transition to a sleep sack as soon as your baby shows signs of rolling.,safety,red
Can I warm a bottle in the microwave?,,Avoid microwaves—they can create hot spots. Warm bottles by placing them in warm water and swirl before feeding. Always test milk temperature on your wrist.,safety,green
